test_id,num_points,grid_size,cockayne_steiner,geosteiner_steiner,flute_steiner,cockayne_wirelength,geosteiner_wirelength,flute_wirelength,cockayne_time,geosteiner_time,flute_time
246,10,8668,8,8,8,21864,21864,21864,0.018412,0.000122,2e-06
247,10,7558,8,8,8,21786,21786,21786,0.02858,0.000123,6e-06
248,10,9710,8,8,8,22794,22794,22794,0.035664,0.000181,6e-06
249,10,9271,8,8,8,22110,22110,22110,0.02684,0.000181,5e-06
250,10,7156,8,8,8,21640,21640,21640,0.035287,0.000215,6e-06
251,10,8477,8,8,8,20935,20935,20935,0.027864,0.000213,6e-06
252,10,9271,8,8,8,27518,27518,27518,0.023007,0.000153,5e-06
253,10,8937,8,8,8,20243,20243,20243,0.022802,0.000134,5e-06
254,10,9920,8,8,8,24164,24164,24164,0.024341,0.00019,4e-06
255,10,9409,8,8,8,23187,23187,23187,0.032312,0.000467,4e-06
256,10,9748,8,8,8,25278,25278,25278,0.026208,0.00082,4e-06
257,10,8634,8,8,8,24314,24314,24314,0.036659,0.000236,6e-06
258,10,8589,8,8,8,23364,23364,23364,0.02911,0.000168,5e-06
259,10,9058,8,8,8,25417,25417,25417,0.02604,0.000157,5e-06
260,10,7929,8,8,8,20917,20917,20917,0.02088,0.00017,2e-06
261,10,8766,8,8,8,24586,24586,24586,0.025392,8.8e-05,6e-06
262,10,9265,8,8,8,22511,22511,22511,0.034019,0.000173,5e-06
263,10,8288,8,8,8,24789,24789,25009,0.032805,0.00019,6e-06
264,10,9289,8,8,8,23223,23223,23223,0.035484,0.000162,2e-06
265,10,9357,8,8,8,27012,27012,27012,0.02933,0.000132,7e-06
266,10,9350,8,8,8,24993,24993,24993,0.034203,0.000117,5e-06
267,10,9865,8,8,8,28938,28938,28938,0.02473,0.000201,5e-06
268,10,9372,8,8,8,25416,25416,25416,0.033693,0.000188,5e-06
269,10,9492,8,8,8,25811,25811,25811,0.033907,0.0002,5e-06
270,10,9963,8,8,8,27339,27339,27339,0.029257,0.000217,5e-06
271,10,9608,8,8,8,24567,24567,24567,0.036564,0.000108,5e-06
272,10,9578,8,8,8,24883,24883,24883,0.042108,0.000228,4e-06
273,10,8780,8,8,8,22837,22837,22837,0.02756,0.000181,5e-06
274,10,8760,8,8,8,24764,24764,24764,0.02184,0.000293,4e-06
275,10,9467,8,8,8,24903,24903,24903,0.02482,0.00131,6e-06
276,10,8207,8,8,8,22636,22636,22636,0.03255,0.000208,5e-06
277,10,9028,8,8,8,24926,24926,24926,0.028538,0.000317,6e-06
278,10,8835,8,8,8,26224,26224,26224,0.029357,0.000512,4e-06
